Element,Number,Symbol,Weight,Boil,Melt,Density Vapour,Fusion,
Hydrogen,1,H,1.01,20.46,13.96,71,0.45,0.06,
Helium,2,He,4.00,4.26,3.46,126,0.08,0.02,
Lithium,3,Li,6.94,1603.16,453.66,530,136.01,3.02,
Beryllium,4,Be,9.01,3043.16,1550.16,1850,309.46,11.73,
Boron,5,B,10.81,2303.16,2340,536.01,22.19,
Carbon,6,C,12.01,5103.16,4000.16,2260,719.01,
Nitrogen,7,N,14.01,77.36,63.16,810,2.79,0.36,
Oxygen,8,O,16.00,90.16,54.36,1140,3.41,0.22,
Fluorine,9,F,19.00,84.96,53.56,1505,3.16,0.26,
Neon,10,Ne,20.18,27.16,24.56,1200,1.77,0.34,
Sodium,11,Na,22.99,1165.16,370.96,970,101.01,2.60,
Magnesium,12,Mg,24.31,1380.16,923.16,1740,136.17,8.96,
Aluminum,13,Al,26.98,2723.16,933.16,2700,284.34,10.68,
Silicon,14,Si,28.09,2953.16,1683.16,2330,170.02,46.48,
Phosphorus,15,P,30.98,
Sulfur,16,S,32.06,717.76,392.16,2070,12.60,1.42,
Chlorine,17,Cl,35.45,238.46,172.16,1560,10.22,3.22,
Argon,18,Ar,39.95,87.36,83.76,1400,6.53,1.18,
Potassium,19,K,39.10,1033.16,336.86,860,79.15,2.30,
Calcium,20,Ca,40.08,1713.16,1111.16,1550,153.85,8.79,
Scandium,21,Sc,44.96,3003.16,1812.16,3000,339.20,15.91,
Titanium,22,Ti,47.90,3533.16,1941.16,4510,445.98,15.49,
Vanadium,23,V,50.94,3723.16,2173.16,6100,443.89,17.59,
Chromium,24,Cr,52.00,2938.16,2148.16,7190,305.57,13.82,
Manganese,25,Mn,54.94,2423.16,1518.16,7430,224.87,14.66,
Iron,26,Fe,55.85,3273.16,1809.16,7860,354.27,15.37,
Cobalt,27,Co,58.93,3173.16,1768.16,8900,389.45,15.24,
Nickel,28,Ni,58.71,3003.16,1726.16,8900,381.07,17.63,
Copper,29,Cu,63.54,2868.16,1356.16,8960,304.86,13.02,
Zinc,30,Zn,65.37,1179.16,692.66,7140,114.74,7.37,
Gallium,31,Ga,69.72,2510.16,302.96,5910,,5.61,
Germanium,32,Ge,72.59,3103.16,1210.56,5320,284.76,31.83,
Arsenic,33,As,74.99,886.16,1090.16,5720,32.45,27.72,
Selenium,34,Se,78.96,958.16,490.16,4790,13.99,5.23,
Bromine,35,Br,79.91,331.16,265.96,3120,14.99,5.28,
Krypton,36,Kr,83.80,121.16,115.86,2600,9.05,1.63,
Rubidium,37,Rb,85.47,961.16,312.06,1530,75.80,2.30,
Strontium,38,Sr,87.62,1653.16,1041.16,2600,141.54,8.79,
Yttrium,39,Y,88.91,
Zirconium,40,Zr,91.22,3853.16,2125.16,6490,502.51,16.75,
Niobium,41,Nb,92.91,3573.16,2741.16,8400,,26.80,
Molybdenum,42,Mo,95.94,5833.16,2883.16,10200,536.01,27.64,
Technetium,43,Tc,96.91,
Ruthenium,44,Ru,101.07,5173.16,2773.16,12200,619.77,25.54,
Rhodium,45,Rh,102.90,4773.16,2239.16,12400,531.83,21.78,
Palladium,46,Pd,106.40,4253.16,1825.16,12000,376.88,16.75,
Silver,47,Ag,107.87,2483.16,1233.96,10500,254.19,11.31,
Cadmium,48,Cd,112.40,1038.16,594.06,8650,100.08,6.11,
Indium,49,In,114.82,2273.16,429.36,7310,224.87,3.27,
Tin,50,Sn,118.69,2543.16,505.06,7300,293.13,7.20,
Antimony,51,Sb,121.75,1653.16,903.66,6620,195.14,19.85,
Tellurium,52,Te,127.60,
Iodine,53,I,126.90,456.16,386.86,4940,21.78,7.83,
Xenon,54,Xe,131.30,165.16,161.26,3060,12.65,2.30,
Cesium,55,Cs,132.90,963.16,301.86,1900,68.26,2.09,
Barium,56,Ba,137.34,1913.16,987.16,3500,149.50,7.66,
Lanthanum,57,La,138.91,3743.16,1193.16,6170,402.01,6.28,
Cerium,58,Ce,140.12,3741.16,1068.16,6670,397.82,5.03,
Praseodymium,59,Pr,140.91,3400.16,1208.16,6770,330.82,6.70,
Neodymium,60,Nd,144.24,3300.16,1297.16,7000,288.94,7.12,
Promethium,61,Pm,144.91,
Samarium,62,Sm,150.35,2173.16,1345.16,7540,192.63,8.79,
Europium,63,Eu,151.96,1712.16,1099.16,5260,175.88,9.21,
Gadolinium,64,Gd,157.25,3273.16,1585.16,7890,301.51,15.49,
Terbium,65,Tb,158.92,3073.16,1629.16,8270,293.13,16.33,
Dysprosium,66,Dy,162.50,2873.16,1680.16,8540,280.57,17.17,
Holmium,67,Ho,164.93,2873.16,1734.16,8800,280.57,17.17,
Erbium,68,Er,167.26,3173.16,1770.16,9050,280.57,17.17,
Thulium,69,Tm,168.93,2000.16,1818.16,9330,247.07,18.43,
Ytterbium,70,Yb,173.04,1700.16,1097.16,6980,159.13,7.54,
Lutetium,71,Lu,174.97,3600.16,1925.16,9840,376.88,19.26,
Hafnium,72,Hf,178.49,5673.16,2495.16,13100,649.08,21.78,
Tantalum,73,Ta,180.95,5698.16,3269.16,16600,753.77,28.48,
Wolfram,74,W,183.85,6203.16,3683.16,19300,774.71,33.71,
Rhenium,75,Re,186.20,6173.16,3453.16,21000,636.52,33.08,
Osmium,76,Os,190.20,5773.16,3273.16,22600,678.39,26.80,
Iridium,77,Ir,192.22,
Platinum,78,Pt,195.09,4803.16,2042.16,21400,510.89,19.68,
Gold,79,Au,196.97,3243.16,1336.16,19300,342.55,12.69,
Mercury,80,Hg,200.59,630.16,234.76,13600,58.21,2.35,
Thallium,81,Tl,204.37,1730.16,576.16,11850,162.48,4.27,
Lead,82,Pb,207.19,1998.16,600.56,11400,176.72,5.11,
Bismuth,83,Bi,208.98,1833.16,544.46,9800,178.81,10.89,
Polonium,84,Po,208.98,
Astatine,85,At,209.99,
Radon,86,Rn,222.02,
Francium,87,Fr,223.02,
Radium,88,Ra,226.00,,973.16,5000,114.74,10.05,
Actinium,89,Ac,227.03,
Thorium,90,Th,232.04,4123.16,2023.16,11700,,19.26,
Protactinium,91,Pa,231.04,
Uranium,92,U,238.03,4091.16,1405.16,19070,460.64,11.31,
Neptunium,93,Np,237.00,,910.16,19500,394.89,
Plutonium,94,Pu,242.00,3508.16,913.16,,365.16,
Americium,95,Am,243.06,
Curium,96,Cm,247.07,
Berkelium,97,Bk,247.07,
Californium,98,Cf,251.08,
Einsteinium,99,Es,254.09,
Fermium,100,Fm,257.10,
Mendelevium,101,Md,257.10,
Nobelium,102,No,255.09,
Lawrencium,103,Lr,256.10,
